Date,Total Deaths - 14 Day Rolling Total,Total Deaths - Daily Total
2000-08-13,,
2000-08-20,,
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,1
2020-03-28,3,1
2020-03-29,4,1
2020-03-30,5,1
2020-03-31,6,4
2020-04-01,10,2
2020-04-02,12,1
2020-04-03,13,5
2020-04-04,18,3
2020-04-05,21,5
2020-04-06,26,0
2020-04-07,26,2
2020-04-08,27,3
2020-04-09,30,5
2020-04-10,34,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,8
2020-04-18,57,5
2020-04-19,59,8
2020-04-20,62,7
2020-04-21,69,6
2020-04-22,73,7
2020-04-23,77,10
2020-04-24,82,5
2020-04-25,84,6
2020-04-26,86,8
2020-04-27,90,10
2020-04-28,94,12
2020-04-29,103,13
2020-04-30,110,9
2020-05-01,114,11
2020-05-02,117,5
2020-05-03,117,15
2020-05-04,124,17
2020-05-05,134,10
2020-05-06,138,9
2020-05-07,140,13
2020-05-08,143,11
2020-05-09,149,13
2020-05-10,156,18
2020-05-11,166,15
2020-05-12,171,13
2020-05-13,172,14
2020-05-14,173,17
2020-05-15,181,6
2020-05-16,176,11
2020-05-17,182,11
2020-05-18,178,16
2020-05-19,177,17
2020-05-20,184,12
2020-05-21,187,10
2020-05-22,184,19
2020-05-23,192,8
2020-05-24,187,19
2020-05-25,188,10
2020-05-26,183,13
2020-05-27,183,14
2020-05-28,183,11
2020-05-29,177,12
2020-05-30,183,5
2020-05-31,177,11
2020-06-01,177,10
2020-06-02,171,11
2020-06-03,165,10
2020-06-04,163,8
2020-06-05,161,10
2020-06-06,152,8
2020-06-07,152,7
2020-06-08,140,8
2020-06-09,138,4
2020-06-10,129,7
2020-06-11,122,2
2020-06-12,113,5
2020-06-13,106,5
2020-06-14,106,5
2020-06-15,100,8
2020-06-16,98,4
2020-06-17,91,3
2020-06-18,84,3
2020-06-19,79,6
2020-06-20,75,4
2020-06-21,71,0
2020-06-22,64,2
2020-06-23,58,4
2020-06-24,58,0
2020-06-25,51,4
2020-06-26,53,8
2020-06-27,56,2
2020-06-28,53,4
2020-06-29,52,0
2020-06-30,44,1
2020-07-01,41,3
2020-07-02,41,3
2020-07-03,41,7
2020-07-04,42,1
2020-07-05,39,3
2020-07-06,42,4
2020-07-07,44,4
2020-07-08,44,4
2020-07-09,48,2
2020-07-10,46,5
2020-07-11,43,6
2020-07-12,47,6
2020-07-13,49,6
2020-07-14,55,5
2020-07-15,59,6
2020-07-16,62,5
2020-07-17,64,5
2020-07-18,62,4
2020-07-19,65,3
2020-07-20,65,6
2020-07-21,67,7
2020-07-22,70,7
2020-07-23,73,4
2020-07-24,75,5
2020-07-25,75,1
2020-07-26,70,2
2020-07-27,66,3
2020-07-28,63,3
2020-07-29,61,2
